,GDP BY ACTIVITY - CONSTANT 2016=100 PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KSh Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW QUARTERLY ESTIMATES - After rebasing ,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022*
,Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
,Other services,,,,,3.6,3.7,4.2,3.4,2.5,2,2.2,2.5,2.6,2.7,1.9,2.3,0.8,1.9,1.1,3.4,4.4,4.5,3.4,4.3,2.9,2.5,4.5,1.3,4.6,4.8,5.4,4.7,6.4,4.3,3.9,3.3,1.5,2.5,3.3,5.7,6.5,6.8,4.5,-0.5,-3.6,-23.9,-13.9,-17.2,-8.4,28.8,17.7,16.8,11.1
,FISIM,,,,,13.8,13.6,16.6,19.6,10,8.9,9.3,8.2,8.1,8.5,10.9,12.6,11.2,14.2,12.3,13.6,14,12.3,12.1,11.8,13,14.2,11.4,11.1,1.8,0.6,0,-1.4,-9.7,-7.9,-4.8,-1.7,5.5,2.1,2.3,5.1,10.2,7.6,7.7,12.3,-3.8,-0.2,-2.2,-1.1,4.9,2.8,5.1,8.7,6.4
,All Industries at basic prices,,,,,7.7,9,7.3,8.4,5,4.8,5.2,4,3.9,4.4,4.3,3.4,3.4,4.8,3,2.9,4.6,5.1,5,4.3,5.2,5.1,5.4,5.5,4,4,4.8,4.9,4.7,3.5,3.1,3.3,5.1,5.5,5.4,6.5,5.5,6.1,5.0,4.4,4.3,-2.5,-3.0,3.3,2.7,10.4,9.1,6.7,6.3
,Taxes on products,,,,,4.2,3.3,10.1,12.2,15.8,12.7,7.9,1.7,4.5,8.7,13.6,16.5,5.3,4,10.9,5.9,7.6,14.2,6.2,3.8,0.9,3.4,-1.4,4.2,2.3,1.9,1.3,3.9,12.4,0.4,4.8,5.7,5.8,12.3,4.5,1.7,-1.6,5.2,4.4,7.3,5.5,-20.5,-8.5,-7.4,1.8,18.5,12.5,15.7,12.3
,GDP at market prices,,,,,7.4,8.5,7.5,8.7,5.9,5.4,5.4,3.8,3.9,4.8,5,4.5,3.6,4.7,3.7,3.2,4.9,5.9,5.1,4.3,4.8,5,4.7,5.3,3.8,3.8,4.4,4.8,5.4,3.3,3.2,3.5,5.2,6.1,5.3,6.0,4.8,6.0,5.0,4.6,4.4,-4.1,-3.5,2.3,2.7,11.0,9.3,7.4,6.8
,GDP (seasonally adjusted),,,,,7.6,8.5,7.5,8.7,6.1,5.1,5.4,3.9,4.3,4.4,5,4.7,3.9,4.3,3.7,3.5,5,5.4,5.2,4.4,4.8,4.8,4.8,5.5,0.4,1.7,1.5,1,0.8,0,1.6,1.1,2.3,1.0,1.0,1.4,1.3,2.1,0.1,0.5,1.6,-6.7,2.9,3.4,1.5,2.0,2.0,3.0,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
